"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Polpal"	1.06728295275329	-0.176961040946381	1.00875992478535	0.0584650481058603	-0.339238704274587	0.450201378519194	-0.13627995304843	-0.256494282244679	0.0683521763877298	0.145440265776888	0.275756905572661	0.0405993924266899	-0.43523690417887	-0.413816113550438	-0.378015384102742	0.299810124450537	0.113765344232332	5.42339410271511
"Dicdis"	0.00117235592345063	-0.0671908488196195	0.195864399412528	-0.0778993233000258	-0.27171712112053	1.81141019504703	-0.0592483058733935	-0.25668822788336	-0.330382649154969	1.67595022069085	-0.101833843441292	3.68161070671966	-0.380288197062019	-0.400952061742211	-0.462888972524253	0.38415464705776	2.03450915808583	2.18039177378328
"Enthis"	-0.907404764183718	-0.34023524807856	-0.897399401219647	-0.462827389708848	-0.0622695612767262	-0.734560323993325	-0.156043597297642	-0.231626787713297	-0.832610665724052	0.649738451460089	-0.820171356116645	1.03120304700497	-0.0993617803195393	-0.269490206026951	-0.273863415260274	0.30096306321876	1.30094264375971	-0.820171351086149
"Guithe"	-0.591100010014961	0.0519212064328289	-0.517292831324463	-0.118262658303391	0.331847754373793	-0.403837318912012	-0.313543948472433	-0.68640580870349	-0.448640646265525	0.171323529106833	-0.336977607878814	0.33166904849894	-0.0760368743718676	0.299096598373194	0.321312812770712	1.23202571200605	1.92224963546092	-0.507109424327714
"Emihux"	-0.688018263365925	0.809493484422191	-0.246525209008414	0.0729039312020926	-0.0891627445290467	-0.637265790823689	0.045650721994727	-0.347529661333168	-0.482762928014125	-0.486954633205976	0.0174900809381447	0.863067057733887	-0.121378857641996	0.119480491715786	0.539744174963161	0.883886118513735	0.2934791741407	0.288604208995739
"Phypat"	-0.69681581080416	0.0887221976035695	-0.415107422055575	-0.122093757137358	0.222441635011751	-0.173998770643684	-0.019847295291782	-0.269567801203449	-0.324044122794737	0.747224380385563	0.0302855646856512	1.42183747979725	0.0911686723851802	0.213752621625862	0.161774308789841	0.619450315220329	1.00923397435149	0.132647464696008
"Lacsat"	-0.110451145907628	-0.00272183261539581	-0.252939655585155	-0.203715231303636	0.389370884107327	-0.0860236111691097	-0.114166295565247	-0.240270396040106	-0.174018865076637	1.04269483509671	-0.362785071727394	0.412291064216703	0.340233428245659	0.257990321903477	0.27683973640209	-0.177811690156626	-0.029930306868773	0.136901455521425
"Sollyc"	-0.538070114353696	0.0647928850260315	-0.46089856807114	-0.117662395679467	0.398558055346668	-0.165668540466291	-0.0235448871167815	-0.201379434331165	-0.328320436737993	0.614150652345145	-0.438659976732968	-0.441368085594667	0.320897485106673	0.28424595978389	0.214056319871768	0.141196647435191	2.79315569414304	-0.0190044494853637
"Mimgut"	-0.0460905893369507	0.228397735415163	0.362891145279054	-0.076298428230129	0.211375416492057	-0.378143172073672	0.236252813721372	-0.163971306130411	0.482659152197386	0.297539972926042	0.921775328305516	3.44531158502417	0.144295469142859	0.513722689338257	0.12163692584904	0.14770350251085	-0.191749603651778	2.51910237507751
"Citlan"	-0.585785076339554	0.233587385266524	-0.392663184955483	-0.12944249552342	0.249351355638687	-0.222499148873384	0.0971773565161915	-0.110770857412585	-0.357989907719379	0.956976993643773	0.185035339497993	1.21171459694253	0.2837450162288	0.203460326200097	0.00476758239565733	0.152571687682383	0.192439055791735	1.0584029628396
"Cucsat"	-0.489490540936899	0.167286386714177	-0.182991199955066	-0.161456066895997	0.0892120871852418	-0.336944337006634	0.0416804436708837	-0.161432894486782	-0.0883997262582659	0.75647607719769	0.282277726204336	1.72868028664098	0.116530351709635	-0.00859012953287698	-0.096495709842044	0.209963149376395	0.849131391759824	1.53291288739019
"Linusi"	-0.195120689046006	0.184390055342309	-0.028402613040783	0.0386445518608802	0.144769617805498	-0.29484227841228	0.090319644062282	-0.230558370724895	-0.0788301460304689	0.622137853691388	0.513536948690308	0.813508883274709	0.254921262826961	-0.027682734697047	-0.0459222672128266	0.564138860335831	0.310701748716339	1.45611078236758
"Poptri"	-0.232112297948492	0.0458549721989223	-0.104053607797295	-0.189360294192721	0.444275082669611	-0.431578029184861	0.040633249856906	-0.0981942304654391	-0.0720741962454612	0.903097110859072	0.612972654759266	1.43548982811514	0.340295596506251	0.337837861168369	0.131593429368333	0.905021641440655	1.57596393161848	0.653704398682422
