Musmus	2279058378	2279058378	950659239
Musput	2325201281	2325201281	964432745
Myodav	1878461987	1878461987	801775179
Nomleu	2756609047	2756609047	1123529363
Ochpri	1943976257	1943976257	842640785
Octdeg	2526244269	2526244269	1045429197
Ornana	1845138729	1845137433	839098513
Oryafe	3415323805	3415323805	1368388070
Orycun	2604006039	2604006039	1139225745
Otogar	2359530453	2359530453	970092506
Oviari	2534327564	2534319250	1060091514
Pantro	2839871615	2839835349	1157547838
Papanu	2893254271	2893250291	1185206728
Pelsin	2106622020	2106622020	935543088
Ponabe	3093772766	3093743565	1259101204
Procap	2407847681	2407847681	989021434
Ptevam	1839436660	1839436660	734763421
Pytmol	1149420174	1149420174	450610077
Ratnor	2573346531	2572837410	1078886102
Saibol	2477131095	2477131095	1009904717
Sarhar	2931539806	2931539702	1056651133
Sorara	2192103426	2192103426	940341996
Spetri	2311060300	2311060300	922325483
Susscr	243609780	243565742	102921656
Taegut	1222847868	1222847868	506508182
Tarsyr	2768536343	2768536343	1103670644
Triman	2769082795	2769082795	1127930699
Tupbel	2137225476	2137225476	883655219
Turtru	2332406929	2332386055	969206912
Vicpac	1922910435	1922910435	763011313
Xentro	1365919137	1365919137	547161490
Acrdig	364965393 	364965393 	142468700 
Nemvec	356613585 	297391672 	120845592 
Alamos	1544153083 	1544153083 	667945593 
Hydmag	1189606931 	1189606931 	328643693 
Mnelei	155865547 	150338246 	58427423 
Patmin	811028858 	770229090 	309854532 
Lytvar	951759914 	823137270 	296323387 
Strpur	936564995 	815936258 	301997593 
Sackow	642223875 	642223819 	230277003 
Cragig	491850583 	491850583 	164400223 
Lotgig	359512207 	298901570 	99471816 
Pinfuc	1413178538 	1026542248 	361364099 
Aplcal	619213981 	619213981 	248568272 
Ascsuu	262590036 	262590036 	99678780 
Brumal	89286896 	89227938 	27259735 
Burxyl	73085728 	73085728 	29506569 
Caeele	100286002 	100286002 	35540984 
Hetgly	80826242 	80778247 	30290308 
Hetbac	74356772 	74356772 	24770213 
Loaloa	87527535 	87526577 	27111673 
Melinc	82095019 	82095019 	25811982 
Oncvol	25993098 	25992171 	8449308 
Pripac	133635077 	133634773 	57042694 
Strrat	52638471 	52627365 	13126157 
Wucban	81509233 	81507962 	24205281 
Trispi	58541486 	58538484 	19852463 
Triadh	94749416 	94748975 	31024733 
Closin	547104041 	547104041 	241009334 
Schman	364527760 	362491922 	127625050 
Schmed	865587040 	865581001 	258862322 
Ampque	166679601 	144846385 	51890698 
Helrob	235378343 	215437877 	70707608 
Captel	333717402 	277014850 	111887853 
Ixosca	1895741386 	1895741386 	861377582 
Metocc	151298912 	151298792 	78047055 
Teturt	89600102 	89600102 	28897003 
Vardes	294133941 	294130181 	120826712 
Strmar	173602052 	173599458 	61888010 
Lepsal	790051552 	789948941 	244604557 
Dappul	158609466 	158607408 	64656186 
Acrech	288510352 	288510352 	97083048 
Acypis	512050927 	512050864 	152412208 
Aedaeg	1310090344 	1310090344 	501350066 
Anogam	328942838 	313831009 	138432306 
Apimel	229107307 	229105558 	74908899 
Attcep	290222151 	290210957 	94537887 
Bomter	236382229 	236381658 	88655815 
Bommor	431707935 	431707935 	162644584 
Camflo	224523124 	224523124 	76940079 
Culqui	328942838 	313831009 	138432306 
Danple	272853388 	272279872 	86173813 
Dromel	137586636 	132715818 	55957824 
Harsal	283007741 	283007741 	127885947 
Helmel	269658870 	269658560 	88543250 
Linhum	213270824 	213270824 	80307685 
Lutlon	142772392 	142771332 	49986903 
Mansex	399655158 	399654982 	140940463 
Maydes	153138701 	153138503 	50787208 
Megrot	328942838 	313831009 	138432306 
Menmol	155727465 	155727027 	44685085 
Nasvit	239649738 	239649738 	99937346 
Pedhum	108367968 	108367968 	29766625 
Phlpap	345389541 	345389541 	116057546 
Pogbar	220070452 	220070452 	80318617 
Rhopro	561474548 	561474548 	190609082 
Solinv	354729383 	354726649 	128481643 
Tricas	152101721 	152101715 	51531014 
Capowc	27512066 	27512066 	14789789 
Trivag	178315610 	178312524 	58549054 
Bignat	91405885 	91405885 	40997305 
Phatri	24612623 	24612619 	12026586 
Fracyl	80540407 	76203645 	29348768 
Psemul	218730801 	200092025 	89067138 
Thapse	29453142 	29453136 	13812142 
Blahom	18743709 	18743698 	8481160 
Nangad	30348114 	30348066 	16467331 
